GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,CI_Exists_Checked,CI_Tools_Detected
pytorch/builder,Y,354,2799,685,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/builder/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open than closed, author sometimes replies",https://github.com/pytorch/builder/blob/master/LICENSE,There are many files related to testing,2025-08-12,126,114,4401.3,Computer Vision,1,Continuous builder and binary build scripts for pytorch,,small,Yes,GitHub Actions
pytorch/captum,Y,5416,1367,42238,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/captum/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open than closed, author sometimes replies",https://github.com/pytorch/captum/blob/master/LICENSE,There are many files related to testing,2025-09-27,63,110,5876.5,Domain-Specific Applications,3,Model interpretability and understanding for PyTorch,"feature-attribution, feature-importance, interpretability, interpretable-ai, interpretable-ml",large,Yes,GitHub Actions
pytorch/examples,N,23429,835,7428,Its a collection of projects/examples,Multiple contributors: https://github.com/pytorch/examples/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/examples/blob/master/LICENSE,There is no evidence of any testing done on the project.,2025-09-01,61,258,17362.1,Natural Language Processing,5,"A set of examples around pytorch in Vision, Text, Reinforcement Learning, etc.",,small,Yes,GitHub Actions
pytorch/fairseq,Y,31839,2329,145783,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiole contributors: https://github.com/pytorch/fairseq/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/fairseq/blob/master/LICENSE,There are many files related to testing,2025-09-09,78,288,22074.3,Natural Language Processing,4,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,"artificial-intelligence, python, pytorch",large,Yes,GitHub Actions
pytorch/ignite,Y,4700,1838,48124,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/ignite/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pytorch/ignite/blob/master/LICENSE,There are many files related to testing,2025-09-25,37,211,8761.4,Reinforcement Learning,2,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,"closember, deep-learning, hacktoberfest, machine-learning, metrics, neural-network, python, pytorch",large,Yes,GitHub Actions
pytorch/serve,Y,4350,3891,31729,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/serve/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pytorch/serve/blob/master/LICENSE,There are many files related to testing,2025-03-17,525,179,8277.3,MLOps / Deployment,5,"Serve, optimize and scale PyTorch models in production","cpu, deep-learning, docker, gpu, kubernetes, machine-learning, metrics, mlops, optimization, pytorch, serving",large,Yes,GitHub Actions
pytorch/text,Y,3560,1313,14307,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/text/blob/master/LICENSE,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/text/blob/master/LICENSE,There are many files related to testing,2025-09-10,94,143,6107.9,Reinforcement Learning,2,"Models, data loaders and abstractions for language processing, powered by PyTorch","data-loader, dataset, deep-learning, models, nlp, pytorch",medium,Yes,"CircleCI, GitHub Actions"
pytorch/tutorials,N,8811,2771,14427,Its a collection of projects/tutorials,Multiple contributors: https://github.com/pytorch/tutorials/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/tutorials/blob/master/LICENSE,There is no evidence of any testing done on the project.,2025-09-26,261,675,24605.7,Data Science / Traditional ML,2,PyTorch tutorials.,,medium,Yes,"Makefile (Possible CI), GitHub Actions"
pytorch/vision,Y,17178,4118,76374,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/vision/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/vision/blob/master/LICENSE,There are many files related to testing,2025-09-27,177,620,26706.6,Computer Vision,3,"Datasets, Transforms and Models specific to Computer Vision","computer-vision, machine-learning",large,Yes,GitHub Actions
PyTorchLightning/pytorch-lightning,Y,30179,10863,86858,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/PyTorchLightning/pytorch-lightning/graphs/contributors shows that there are multiple contributors,"The project seems to use Circle CI but drop it, not very sure what they use exactly",There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PyTorchLightning/pytorch-lightning/issues/2495 and https://github.com/PyTorchLightning/pytorch-lightning/issues/2456",https://github.com/PyTorchLightning/pytorch-lightning/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,55,967,44340.5,ML Frameworks / Libraries,2,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.","ai, artificial-intelligence, data-science, deep-learning, machine-learning, python, pytorch",large,Yes,"Makefile (Possible CI), GitHub Actions"
QData/TextAttack,Y,3277,2772,25560,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/QData/TextAttack/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/QData/TextAttack/issues/155 and https://github.com/QData/TextAttack/issues/126",https://github.com/QData/TextAttack/blob/master/LICENSE is provided.,There are many files related to testing.,2025-07-10,9,56,3822.4,Natural Language Processing,3,"TextAttack 🐙  is a Python framework for adversarial attacks, data augmentation, and model training in NLP https://textattack.readthedocs.io/en/master/","adversarial-attacks, adversarial-examples, adversarial-machine-learning, data-augmentation, machine-learning, natural-language-processing, nlp, security",medium,Yes,"Makefile (Possible CI), GitHub Actions"
quantumblacklabs/kedro,Y,10549,4147,24084,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/quantumblacklabs/kedro/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/quantumblacklabs/kedro/blob/master/LICENSE.md,There are many files related to testing,2025-09-21,22,238,12603.7,MLOps / Deployment,5,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.","experiment-tracking, hacktoberfest, kedro, machine-learning, machine-learning-engineering, mlops, pipeline, python",medium,Yes,"Makefile (Possible CI), GitHub Actions"
quantumlib/Cirq,Y,4712,4475,169329,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/quantumlib/Cirq/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/quantumlib/Cirq/blob/master/LICENSE,There is no evidence of any testing done on the project.,2025-09-27,54,243,10517.3,Reinforcement Learning,1,"Python framework for creating, editing, and invoking Noisy Intermediate-Scale Quantum (NISQ) circuits.","algorithms, api, cirq, google, google-quantum, nisq, python, quantum, quantum-algorithms, quantum-circuit, quantum-circuit-simulator, quantum-computer-simulator, quantum-computing, quantum-development-kit, quantum-information, quantum-programming, quantum-programming-language, quantum-simulation, sdk, simulation",large,Yes,GitHub Actions
ray-project/ray,Y,39131,27237,637199,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/ray-project/ray/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/ray-project/ray/blob/master/LICENSE,There are many files related to testing,2025-09-27,1031,890,50523.5,Reinforcement Learning,4,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,"data-science, deep-learning, deployment, distributed, hyperparameter-optimization, hyperparameter-search, large-language-models, llm, llm-inference, llm-serving, machine-learning, optimization, parallel, python, pytorch, ray, reinforcement-learning, rllib, serving, tensorflow",large,Yes,GitHub Actions
ria-com/nomeroff-net,Y,486,1542,10722,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/ria-com/nomeroff-net/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",No commits the past month,"More closed than open, author does not respond frequently",https://github.com/ria-com/nomeroff-net/blob/master/LICENSE,There are many files related to testing,2025-09-26,23,9,927.0,Computer Vision,3,Nomeroff Net. Automatic numberplate recognition system.,,medium,Yes,GitHub Actions
robertness/causalML,N,782,367,2330,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts (Seems like a tutorial),Multiple contributors: https://github.com/robertness/causalML/graphs/contributors,No indications of using CI services,"There is a README, some codes are documented",No commits the past month,No open or closed issues,https://github.com/robertness/causalML/blob/master/LICENSE,There is no evidence of any testing done on the project.,2024-07-28,18,50,1922.9,Data Science / Traditional ML,4,The open source repository for the Causal Modeling in Machine Learning Workshop at Altdeep.ai @ www.altdeep.ai/courses/causalML,"causality, machine-learning",small,No,No CI config found
ROCmSoftwarePlatform/tensorflow-upstream,Y,696,188754,757020,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/graphs/contributors shows that there are multiple contributors,"No evidence of CI used, may missed out because there are alot of files",There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/issues/1000 and https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/issues/937",https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/blob/develop-upstream/LICENSE is provided.,There are many files related to testing.,2025-09-26,1766,553,73494.6,ML Frameworks / Libraries,2,TensorFlow ROCm port,,large,Yes,GitHub Actions
RussTedrake/underactuated,Y,870,1915,5955,The source code of this project has been organised into different modules in a way that shows the relationship between different files but quite messy,https://github.com/RussTedrake/underactuated/graphs/contributors shows that there are multiple contributors,Project uses Jenkins CI previously but seems to have removed it,There is a well-maintained documentation,Evidence of sustained commit activity but only recently,"The project maintainers respond to issues, as evidenced by https://github.com/RussTedrake/underactuated/issues/353 and https://github.com/RussTedrake/underactuated/issues/372",https://github.com/RussTedrake/underactuated/blob/master/LICENSE.TXT is provided.,There are files related to testing but not much,2025-08-28,16,34,1942.5,MLOps / Deployment,1,The course text for MIT 6.832 (and 6.832x on edX),,small,Yes,GitHub Actions
rusty1s/pytorch_geometric,Y,22939,7889,124071,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/rusty1s/pytorch_geometric/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/rusty1s/pytorch_geometric/blob/master/LICENSE,There are many files related to testing,2025-09-23,165,514,26962.3,Domain-Specific Applications,6,Graph Neural Network Library for PyTorch,"deep-learning, geometric-deep-learning, graph-convolutional-networks, graph-neural-networks, pytorch",large,Yes,GitHub Actions
rusty1s/pytorch_scatter,Y,1690,1049,1450,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/rusty1s/pytorch_scatter/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,"More closed than open, author responds frequently",https://github.com/rusty1s/pytorch_scatter/blob/master/LICENSE,There are many files related to testing,2025-08-12,5,30,1890.7,ML Frameworks / Libraries,2,PyTorch Extension Library of Optimized Scatter Operations,"gather, pytorch, scatter, segment",small,Yes,GitHub Actions
rwightman/pytorch-image-models,Y,35368,2940,83829,The source code of this project has been organised into different modules in a way that shows the relationship between different files with some ad hoc scripts,Multiple contributors: https://github.com/rwightman/pytorch-image-models/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/rwightman/pytorch-image-models/blob/master/LICENSE,There are many files related to testing,2025-09-24,163,157,19739.2,Computer Vision,2,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more","augmix, convnext, distributed-training, efficientnet, image-classification, imagenet, maxvit, mixnet, mobile-deep-learning, mobilenet-v2, mobilenetv3, nfnets, normalization-free-training, optimizer, pretrained-models, pretrained-weights, pytorch, randaugment, resnet, vision-transformer-models",large,Yes,GitHub Actions
rwth-i6/returnn,Y,370,12170,145490,The source code of the project consists of some ad-hoc scripts.,Multiple contributors: https://github.com/rwth-i6/returnn/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds sometimes",https://github.com/rwth-i6/returnn/blob/master/LICENSE,There are many files related to testing,2025-09-22,52,57,5509.0,ML Frameworks / Libraries,4,The RWTH extensible training framework for universal recurrent neural networks,"deep-learning, gpu, recurrent-neural-networks, tensorflow, theano",large,Yes,GitHub Actions
scikit-learn-contrib/imbalanced-learn,Y,7038,896,16049,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/scikit-learn-contrib/imbalanced-learn/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,"More closed than open, author does not respond frequently",https://github.com/scikit-learn-contrib/imbalanced-learn/blob/master/LICENSE,There are many files related to testing,2025-08-14,15,82,5544.0,Data Science / Traditional ML,6, A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning,"data-analysis, data-science, machine-learning, python, statistics",medium,Yes,"CircleCI, GitHub Actions"
SeldonIO/alibi,Y,2558,677,20797,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SeldonIO/alibi/graphs/contributors shows that there are multiple contributors,The project uses Travis and Circle CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/SeldonIO/alibi/issues/256 and https://github.com/SeldonIO/alibi/issues/251 but not often as there's still a lot open issues",https://github.com/SeldonIO/alibi/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-23,37,22,1886.3,Domain-Specific Applications,5,Algorithms for explaining machine learning models,"counterfactual, explanations, interpretability, machine-learning, xai",medium,Yes,"Makefile (Possible CI), GitHub Actions"
SeldonIO/alibi-detect,Y,2429,746,24028,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SeldonIO/alibi-detect/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,Do reply to issues last time but not now,https://github.com/SeldonIO/alibi-detect/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-03,14,25,1945.4,Data Science / Traditional ML,3,"Algorithms for outlier, adversarial and drift detection","adversarial, anomaly, concept-drift, data-drift, detection, drift-detection, images, outlier, semi-supervised-learning, tabular-data, text, time-series, unsupervised-learning",medium,Yes,"Makefile (Possible CI), GitHub Actions"
SeldonIO/seldon-core,Y,4638,1207,3289,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SeldonIO/seldon-core/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,Evidence of sustained commit activity but only recently,"The project maintainers respond to issues, as evidenced by https://github.com/SeldonIO/seldon-core/issues/2068 and https://github.com/SeldonIO/seldon-core/issues/2048",https://github.com/SeldonIO/seldon-core/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,482,38,3357.3,MLOps / Deployment,6,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models","aiops, deployment, kubernetes, machine-learning, machine-learning-operations, mlops, production-machine-learning, serving",small,Yes,"Makefile (Possible CI), GitHub Actions"
sigopt/sigopt-examples,Y,201,601,5255,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"Multiple contributors, each with contribution that is not negligible https://github.com/sigopt/sigopt-examples/graphs/contributors",Travis used,Documentation for each module,Commits are quite spread out,2 still open << 6 closed,License provided,X Doesn't seem to have unit test,2024-04-29,11,24,980.7,Data Science / Traditional ML,4,Optimization Examples with SigOpt,,small,Yes,Travis CI
sisl/NeuralVerification.jl,Y,232,932,61,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers,Travis used,Most of the functions in the source code are not documented.,Commits are quite spread out,27 open < 36 closed,License provided,There are many files related to testing.,2025-05-01,15,13,762.4,Domain-Specific Applications,3,Methods to soundly verify deep neural networks,,small,Yes,GitHub Actions
skorch-dev/skorch,Y,6113,1123,20587,X The source code of the project exists as ad-hoc scripts.,"4-6 active contributers, 33 contributers in total",Travis used,Documentation not negligible,Commit activity not negligible,45 open << 266 closed,License provided,X Doesn't seem to have unit test,2025-08-15,46,62,4642.1,Data Science / Traditional ML,6,A scikit-learn compatible neural network library that wraps PyTorch,"hacktoberfest, huggingface, machine-learning, pytorch, scikit-learn",medium,Yes,GitHub Actions
slundberg/shap,Y,24462,2867,23375,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 87 contributers",Travis used,Documentation provided,Commit activity not negligible,643 open >> 428 closed,License provided,A number of tests,2025-09-26,18,228,17484.9,Data Science / Traditional ML,8,A game theoretic approach to explain the output of any machine learning model.,"deep-learning, explainability, gradient-boosting, interpretability, machine-learning, shap, shapley",medium,Yes,GitHub Actions
snap-stanford/ogb,N,2036,679,21473,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers out of 7,X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",1 open <<< 32 closed,License provided,X Doesn't seem to have unit test,2025-05-06,3,25,1768.1,Domain-Specific Applications,5,"Benchmark datasets, data loaders, and evaluators for graph machine learning","datasets, deep-learning, graph-machine-learning, graph-neural-networks",medium,No,No CI config found
snipsco/tract,Y,2601,8101,1472,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 14 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",13 open < 28 closed,License provided,X Doesn't seem to have unit test,2025-09-26,213,69,5540.7,ML Frameworks / Libraries,7,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference","artificial-intelligence, neural-networks, onnx, rust, rust-library, tensorflow",small,Yes,"Travis CI, GitHub Actions"
snorkel-team/snorkel,Y,5918,2693,7633,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,4 active contributors out of 52,Travis used,Documentation provided mostly in links,Commits are quite spread out,27 open << 880 closed,License provided,There are many files related to testing.,2024-02-27,11,69,5245.1,Reinforcement Learning,2,A system for quickly generating training data with weak supervision,"ai, data-augmentation, data-science, data-slicing, labeling, machine-learning, python, snorkel, training-data, weak-supervision",small,Yes,"Tox (Python Testing), CircleCI, GitHub Actions"
SPFlow/SPFlow,Y,304,650,16505,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SPFlow/SPFlow/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/SPFlow/SPFlow/issues/78 and https://github.com/SPFlow/SPFlow/issues/58 but not often",https://github.com/SPFlow/SPFlow/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,2025-04-04,11,22,976.6,ML Frameworks / Libraries,3,Sum Product Flow: An Easy and Extensible Library for Sum-Product Networks,"deep-learning, graphical-models, machine-learning, mixture-model, spn, sum-product-networks, tensorflow-models",medium,Yes,GitHub Actions
spmallick/learnopencv,N,22329,2608,120110,"Many folders, each have a few files inside",4 active contributors our of 17,X CI is not used on the project.,Documentation provided mostly in links,"Recent, Commit activity not negligible",146 open >> 43 closed,License provided,X Doesn't seem to have unit test,2025-09-23,5,81,12144.0,Computer Vision,7,Learn OpenCV  : C++ and Python Examples,"ai, computer-vision, computervision, deep-learning, deep-neural-networks, deeplearning, machine-learning, opencv, opencv-cpp, opencv-library, opencv-python, opencv-tutorial, opencv3",large,No,No CI config found
sql-machine-learning/elasticdl,Y,743,1829,21950,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,14 active contributors out of 18,Travis used,Documentation provided,"Recent, Commit activity not negligible",101 open << 641 closed,License provided,Tests contained,2024-01-26,9,23,1535.9,ML Frameworks / Libraries,4,Kubernetes-native Deep Learning Framework,"deep-learning, distributed-systems, kubernetes, tensorflow",medium,Yes,Travis CI
stanfordnlp/stanza,Y,7607,4785,51429,X The source code of the project exists as ad-hoc scripts.,6 active contributors out of 18,Travis used,Documentation provided mostly in links,Commit activity not negligible,36 open << 260 closed,License provided,Quite a number of tests,2024-12-24,31,52,6038.3,Natural Language Processing,6,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages","artificial-intelligence, corenlp, deep-learning, machine-learning, named-entity-recognition, natural-language-processing, nlp, python, pytorch, universal-dependencies",large,Yes,"Travis CI, GitHub Actions"
stephenhky/PyShortTextCategorization,Y,472,1539,2590,"Many folders, each have a few files inside in https://github.com/stephenhky/PyShortTextCategorization/tree/master/shorttext","1 has significantly more commits than others, but 5 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,6 open << 32 closed,License provided,A number of tests,2025-09-19,184,7,860.5,Natural Language Processing,2,Various Algorithms for Short Text Mining,"algorithm, machine-learning, natural-language-processing, neural-network, package, python, python-library, text-mining, topic-modeling",small,Yes,"CircleCI, GitHub Actions"
streamlit/streamlit,Y,41585,8344,113797,Organised but not in modules,"2 have significantly more commits than others, but 51 contributers",CircleCI used,Documentation provided,"Recent, Commit activity not negligible",387 open < 608 closed,License provided,A number of tests https://github.com/streamlit/streamlit/tree/develop/lib/tests,2025-09-26,428,280,27537.2,Data Science / Traditional ML,3,Streamlit — A faster way to build and share data apps.,"data-analysis, data-science, data-visualization, deep-learning, developer-tools, machine-learning, python, streamlit",large,Yes,"Makefile (Possible CI), GitHub Actions"
tensorflow/addons,Y,1707,1519,28322,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"2 have significantly more commits than others, but 103 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",113 open < 473 closed,License provided,Few tests https://github.com/tensorflow/addons/tree/master/tools/testing,2024-04-15,30,195,6988.5,ML Frameworks / Libraries,2,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons,"deep-learning, machine-learning, neural-network, python, tensorflow, tensorflow-addons",large,Yes,GitHub Actions
tensorflow/data-validation,Y,773,995,28157,Organised but not in modules,"2 have significantly more commits than others, but 4 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",34 open < 62 closed,License provided,X 1 integration test https://github.com/tensorflow/data-validation/tree/master/tensorflow_data_validation/integration_tests,2025-06-23,33,26,1387.7,Data Science / Traditional ML,2,Library for exploring and validating machine learning data,,large,Yes,GitHub Actions
tensorflow/examples,N,8185,2187,31727,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 177 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",46 open < 180 closed,License provided,X Doesn't seem to have unit test,2025-08-21,16,263,11820.1,Data Science / Traditional ML,2,TensorFlow examples,"tensorflow, tensorflow-examples",large,No,No CI config found
tensorflow/fairness-indicators,Y,353,397,1520,2 modules,"2 have significantly more commits than others, but 11 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",all closed,License provided,X Doesn't seem to have unit test,2025-08-04,55,31,1190.3,Data Science / Traditional ML,2,Tensorflow's Fairness Evaluation and Visualization Toolkit,"fairness-indicators, fairness-ml, tensorflow",small,Yes,GitHub Actions
tensorflow/federated,Y,2397,5691,96954,X The source code of the project exists as ad-hoc scripts.,"4 have significantly more commits than others, but 53 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",21 open < 142 closed,License provided,X Doesn't seem to have unit test,2025-09-28,230,110,5966.1,ML Frameworks / Libraries,2,An open-source framework for machine learning and other computations on decentralized data.,,large,Yes,GitHub Actions
tensorflow/graphics,Y,2781,770,33411,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 20contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",40 open < 74 closed,License provided,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,2025-02-03,26,35,2393.4,Domain-Specific Applications,3,TensorFlow Graphics: Differentiable Graphics Layers for TensorFlow,,large,Yes,GitHub Actions
tensorflow/io,Y,731,1700,26222,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 20 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",100 open < 213 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-04-10,8,104,3922.4,Reinforcement Learning,2,"Dataset, streaming, and file system extensions maintained by TensorFlow SIG-IO","dataset, filesystem, streaming, tensorflow, tensorflow-io",medium,Yes,GitHub Actions
tensorflow/model-analysis,Y,1267,1570,49874,Organised but not in modules,"2 has significantly more commits than others, but 28 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",14 open < 20 closed,License provided,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,2025-08-06,36,55,2627.8,Data Science / Traditional ML,2,Model analysis tools for TensorFlow,,large,Yes,GitHub Actions
tensorflow/models,N,77643,9655,379080,Organised but not in modules,"100 contributers, most significant",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",820 open << 4647 closed,License provided,Few tests https://github.com/tensorflow/models/tree/master/official/utils/testing/scripts,2025-09-27,116,790,57653.7,ML Frameworks / Libraries,2,Models and examples built with TensorFlow,,large,Yes,GitHub Actions
tensorflow/privacy,Y,1985,899,30114,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"6 has significantly more commits than others, but 26contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",22 open < 66 closed,License provided,X Doesn't seem to have unit test,2025-06-13,25,56,2743.7,ML Frameworks / Libraries,3,Library for training machine learning models with privacy for training data,"machine-learning, privacy",large,No,No CI config found
